code,country,description,codes_ascii,description_ascii
A. en P.,Mexico,AsociaciÃ³n en ParticipaciÃ³n,A. en P.,AsociaciA3n en ParticipaciA3n
AB,Sweden,Aktiebolag,AB,Aktiebolag
AB,Finland,Aktiebolag,AB,Aktiebolag
A.C.,Mexico,AsociaciÃ³n Civil,A.C.,AsociaciA3n Civil
ACE,Portugal,Agrupamento Complementar de Empresas,ACE,Agrupamento Complementar de Empresas
AD,Bulgaria,Aktzionerno Druzhestvo,AD,Aktzionerno Druzhestvo
AE,Greece,Anonymos Etairia,AE,Anonymos Etairia
AG,Austria,Aktiengesellschaft,AG,Aktiengesellschaft
AG,Germany,Aktiengesellschaft,AG,Aktiengesellschaft
AG,Switzerland,Aktiengesellschaft,AG,Aktiengesellschaft
AL,Norway,Andelslag,AL,Andelslag
AmbA,Denmark,Andelsselskab,AmbA,Andelsselskab
ANS,Norway,Ansvarlig selskap,ANS,Ansvarlig selskap
Apb,Finland,Publikt Aktiebolag,Apb,Publikt Aktiebolag
ApS,Denmark,Anpartsselskab,ApS,Anpartsselskab
ApS & Co. K/S,Denmark,"Similar to a K/S, but the entity with unlimited liability is a company (ApS) instead
                                                of an individual.",ApS & Co. K/S,"Similar to a K/S, but the entity with unlimited liability is a company (ApS) instead
                                                of an individual."
AS,Norway,Aksjeselskap,AS,Aksjeselskap
A/S,Denmark,Aktieselskap,A/S,Aktieselskap
A.S.,Czech Republic,Akciova spolecnost,A.S.,Akciova spolecnost
A.S.,Estonia,Aktsiaselts,A.S.,Aktsiaselts
A.S.,Slovakia,Akciova Spolocnost,A.S.,Akciova Spolocnost
A.S.,Turkey,Anonim Sirket,A.S.,Anonim Sirket
ASA,Norway,Allmennaksjeselskap,ASA,Allmennaksjeselskap
AVV,Aruba,Aruba Vrijgestelde Vennootschap,AVV,Aruba Vrijgestelde Vennootschap
Bpk,South Africa,Beperk,Bpk,Beperk
Bt,Hungary,Beteti tÃ¡rsasÃ¡g,Bt,Beteti tA!rsasA!g
B.V.,Belgium,Besloten Vennootschap,B.V.,Besloten Vennootschap
B.V.,Netherlands,Besloten Vennootschap,B.V.,Besloten Vennootschap
B.V.,Netherlands Antilles,Besloten Vennootschap,B.V.,Besloten Vennootschap
BVBA,Belgium,Besloten Vennootschap met Beperkte Aansprakelijkheid,BVBA,Besloten Vennootschap met Beperkte Aansprakelijkheid
CA,Ecuador,Compania anonima. ,CA,Compania anonima. 
Corp.,USA,Corporation,Corp.,Corporation
C.V.,Netherlands,Commanditaire Vennootschap,C.V.,Commanditaire Vennootschap
CVA,Belgium,"Commanditaire Vennootschap op Aandelen. Limited partnership with shares. Flemish
                                                language equivalent to the French language SCA ",CVA,"Commanditaire Vennootschap op Aandelen. Limited partnership with shares. Flemish
                                                language equivalent to the French language SCA "
CVoA,Netherlands,Commanditaire Vennootschap op Andelen,CVoA,Commanditaire Vennootschap op Andelen
DA,Norway,Selskap med delt ansar,DA,Selskap med delt ansar
d/b/a,USA,Doing Business As,d/b/a,Doing Business As
d.d.,Croatia,dionicko drustvo,d.d.,dionicko drustvo
d.d.,Slovenia,Delniska druzba,d.d.,Delniska druzba
d.n.o.,Slovenia,Druzba z neomejeno odgovornostjo,d.n.o.,Druzba z neomejeno odgovornostjo
d.o.o.,Croatia,drustvo s ogranicenom odgovornoscu,d.o.o.,drustvo s ogranicenom odgovornoscu
d.o.o.,Slovenia,Druzba z omejeno odgovornostjo,d.o.o.,Druzba z omejeno odgovornostjo
EE,Greece,Eterrorrythmos,EE,Eterrorrythmos
EEG,Austria,Eingetragene Erwerbsgesellschaft,EEG,Eingetragene Erwerbsgesellschaft
EIRL,Peru,Empresa Individual de Responsabilidad Limitada,EIRL,Empresa Individual de Responsabilidad Limitada
ELP,Bahamas,Exempted Limited Partnership,ELP,Exempted Limited Partnership
EOOD,Bulgaria,Ednolichno Druzhestvo s Ogranichena Otgovornost,EOOD,Ednolichno Druzhestvo s Ogranichena Otgovornost
EPE,Greece,Etairia periorismenis evthinis,EPE,Etairia periorismenis evthinis
EURL,France,Enterprise Unipersonnelle Ã  ResponsabilitÃ© LimitÃ©e.,EURL,Enterprise Unipersonnelle A  ResponsabilitA(c) LimitA(c)e.
e.V.,Germany,Eingetragener Verein,e.V.,Eingetragener Verein
GbR,Germany,Gesellschaft burgerlichen Rechts,GbR,Gesellschaft burgerlichen Rechts
GCV,Belgium,Gewone Commanditaire Vennootschap,GCV,Gewone Commanditaire Vennootschap
GesmbH,Austria,See GmbH. This abbreviation is only used in Austria (not Germany or Switzerland).,GesmbH,See GmbH. This abbreviation is only used in Austria (not Germany or Switzerland).
GIE,France,Groupement d'intÃ©ret Ã©conomique. ,GIE,Groupement d'intA(c)ret A(c)conomique. 
GmbH & Co. KG,Germany,"Like a KG, but the entity with unlimited liability is a GmbH instead of a person.
                                                    (See the KG entry for more information).",GmbH & Co. KG,"Like a KG, but the entity with unlimited liability is a GmbH instead of a person.
                                                    (See the KG entry for more information)."
GmbH,Austria,Gesellschaft mit beschrÃ¤nkter Haftung,GmbH,Gesellschaft mit beschrA$?nkter Haftung
GmbH,Germany,Gesellschaft mit beschrÃ¤nkter Haftung,GmbH,Gesellschaft mit beschrA$?nkter Haftung
GmbH,Switzerland,Gesellschaft mit beschrÃ¤nkter Haftung,GmbH,Gesellschaft mit beschrA$?nkter Haftung
HB,Sweden,Handelsbolag.,HB,Handelsbolag.
hf,Iceland,Hlutafelag,hf,Hlutafelag
IBC,Various,International Business Company,IBC,International Business Company
Inc.,USA,"Means a company is Incorporated, and the owners have limited liability. In the United
                                            States, companies can be registered in any of the 50 states -- many of the bigger
                                            corporations are registered in Delaware due to various regulations. Incorporation
                                            in the United States is very easy, and can be done for minimal fees.",Inc.,"Means a company is Incorporated, and the owners have limited liability. In the United
                                            States, companies can be registered in any of the 50 states -- many of the bigger
                                            corporations are registered in Delaware due to various regulations. Incorporation
                                            in the United States is very easy, and can be done for minimal fees."
Inc,Canada,Incorporated. Limited liability,Inc,Incorporated. Limited liability
I/S,Denmark,Interessentskab,I/S,Interessentskab
j.t.d.,Croatia,Javno trgovacko drustvo,j.t.d.,Javno trgovacko drustvo
KA/S,Denmark,Kommanditaktieselskab,KA/S,Kommanditaktieselskab
Kb,Sweden,Kommanditbolag,Kb,Kommanditbolag
Kb,Finland,Kommanditbolag,Kb,Kommanditbolag
KD,Bulgaria,Komanditno drushestwo,KD,Komanditno drushestwo
k.d.,Croatia,komanditno drustvo,k.d.,komanditno drustvo
k.d.,Slovenia,Komanditna druzba,k.d.,Komanditna druzba
KDA,Bulgaria,Komanditno drushestwo s akzii,KDA,Komanditno drushestwo s akzii
k.d.d.,Slovenia,Komanditna delniska druzba,k.d.d.,Komanditna delniska druzba
Kft,Hungary,korlÃ¡tolt felelÃ¶ssÃ©gÃ» tÃ¡rsasÃ¡g,Kft,korlA!tolt felelAPssA(c)gA>> tA!rsasA!g
KG,Austria,Kommanditgesellschaft,KG,Kommanditgesellschaft
KG,Germany,Kommanditgesellschaft,KG,Kommanditgesellschaft
KGaA,Germany,Kommanditgesellschaft auf Aktien.,KGaA,Kommanditgesellschaft auf Aktien.
KK,Japan,Kabushiki Kaishi,KK,Kabushiki Kaishi
Kkt,Hungary,kÃ¶zkereseti tÃ¡rsasÃ¡g,Kkt,kAPzkereseti tA!rsasA!g
Kol. SrK,Turkey,Kollektiv Sirket,Kol. SrK,Kollektiv Sirket
Kom. SrK,Turkey,Komandit Sirket,Kom. SrK,Komandit Sirket
k.s.,Czech Republic,komanditni spolecnost,k.s.,komanditni spolecnost
K/S,Denmark,Kommanditselskab,K/S,Kommanditselskab
KS,Norway,Kommandittselskap,KS,Kommandittselskap
Kv,Hungary,KÃ¶zÃ¶s vÃ¡llalat,Kv,KAPzAPs vA!llalat
Ky,Finland,KommandiittiyhtiÃ¶,Ky,KommandiittiyhtiAP
Lda,Portugal,Sociedade por Quotas Limitada,Lda,Sociedade por Quotas Limitada
LDC,Bahamas,Limited Duration Company,LDC,Limited Duration Company
LLC,USA,Limited Liability Company,LLC,Limited Liability Company
LLP,USA,Limited Liability Partnership,LLP,Limited Liability Partnership
Ltd.,UK,Limited,Ltd.,Limited
Ltda,Brazil,Sociedade por Quotas de Responsabiliadade Limitada,Ltda,Sociedade por Quotas de Responsabiliadade Limitada
Ltée.,Canada,Limitée,Ltee.,Limitee
N.A.,USA,National Association,N.A.,National Association
NT,Canada,iNTermediary,NT,iNTermediary
NV,Netherlands,Naamloze Vennootschap,NV,Naamloze Vennootschap
NV,Belgium,Naamloze Vennootschap,NV,Naamloze Vennootschap
NV,Netherlands Antilles,Naamloze Vennootschap,NV,Naamloze Vennootschap
NV,Suriname,Naamloze Vennootschap,NV,Naamloze Vennootschap
OE,Greece,Omorrythmos,OE,Omorrythmos
OHG,Austria,Offene Handelsgesellschaft,OHG,Offene Handelsgesellschaft
OHG,Germany,Offene Handelsgesellschaft,OHG,Offene Handelsgesellschaft
OOD,Bulgaria,Druzhestvo s Ogranichena Otgovornost,OOD,Druzhestvo s Ogranichena Otgovornost
OÃ,Estonia,OsaÃ¼hing,OA,OsaA1/4hing
Oy,Finland,OsakeyhtiÃ¶,Oy,OsakeyhtiAP
OYJ,Finland,Julkinen osakeyhtiÃ¶,OYJ,Julkinen osakeyhtiAP
P/L,Australia,Pty. Ltd.,P/L,Pty. Ltd.
PC Ltd,Australia,Public Company Limited by Shares ,PC Ltd,Public Company Limited by Shares 
PLC,UK,Public Limited Company,PLC,Public Limited Company
